Paula Weinstein,Shawn Levy,Jonathan Tropper,Jason Bateman|Tina Fey|Adam Driver|Rose Byrne|Corey Stoll|Kathryn Hahn|Connie Britton|Timothy Olyphant|Dax Shepard|Debra Monk|Jane Fonda,This Is Where I Leave You
Peter Safran|James Wan,John R. Leonetti,Gary Dauberman,Annabelle Wallis|Ward Horton|Alfre Woodard,Annabelle
,,,Alex Russell|Alex Russell|Zachary Knighton|Johanna Braddy|Miles Fisher|Sinqua Walls|Max Adler|Max Adler|Christopher McDonald|Nick Offerman,Believe Me
Arnon Milchan|Reese Witherspoon|CeÃ¡n Chaffin|Joshua Donen,David Fincher,,Ben Affleck|Rosamund Pike|Neil Patrick Harris|Tyler Perry|Carrie Coon,Gone Girl
Fox Star Studios,Siddharth Anand,Abbas Tyrewala,Hrithik Roshan|Katrina Kaif|Danny Denzongpa|Javed Jaffrey|Jimmy Sheirgill,Bang Bang!
Paul LaLonde,Vic Armstrong,,Nicolas Cage|Chad Michael Murray|Cassi Thomson|Nicky Whelan|Jordin Sparks,Left Behind
JoAnne Sellar|Daniel Lupi,Paul Thomas Anderson,,Joaquin Phoenix|Josh Brolin|Owen Wilson|Katherine Waterston|Reese Witherspoon|Benicio del Toro|Jena Malone|Maya Rudolph|Martin Short,Inherent Vice
Lisa Henson,Miguel Arteta,,Ed Oxenbould|Steve Carell|Jennifer Garner|Dylan Minnette|Kerris Dorsey|Bella Thorne,Alexander and the Terrible|Horrible|No Good|Very Bad Day
,Nabeel Qureshi|Nabeel Qureshi,,Fahad Mustafa|Javed Sheikh|Mohsin Abbas Haider|Urwa Hocane|Salman Shahid|Kubra Khan,Na Maloom Afraad
Zeba Bakhtiar,Summer Nicks,Summer Nicks|Summer Nicks,Shaan Shahid|Ayub Khoso|Aamina Sheikh|Summer Nicks|Shamoon Abbasi|Mustafa Changazi|Hameed Sheikh|Shakeel Hussain Khan|Ayaz Samoo|Gohar Rasheed|Bilal Ashraf,O21
,Bille Woodruff,,Sharon Leal|Boris Kodjoe|Tyson Beckford|Kat Graham|William Levy|William Levy,Addicted
Michael De Luca,Gary Shore,,Luke Evans|Luke Evans|Dominic Cooper|Sarah Gadon|Art Parkinson|Charles Dance,Dracula Untold
Jeremy Renner|Scott Stuber,Michael Cuesta,Peter Landesman,Jeremy Renner|Rosemarie DeWitt|Ray Liotta|Tim Blake Nelson|Barry Pepper|Oliver Platt|Michael Sheen|Michael K. Williams|Mary Elizabeth Winstead|Andy GarcÃ\xada,Kill the Messenger
Guillermo del Toro,Jorge Gutierrez|Jorge R. Gutierrez,Doug Langdale,Diego Luna|Zoe Saldana|Channing Tatum|Christina Applegate|Ice Cube|Ron Perlman|Kate del Castillo,The Book of Life
Basil Iwanyk|Eva Longoria,Chad Stahelski|David Leitch|David Leitch,Derek Kolstad,Keanu Reeves|Michael Nyqvist|Alfie Allen|Adrianne Palicki|Bridget Moynahan|Dean Winters|Ian McShane|John Leguizamo|Willem Dafoe,John Wick
,Claudio FÃ¤h,,Tom Hopper|Ryan Kwanten|Ken Duken|Charlie Murphy|Charlie Murphy|Ed Skrein|Anatole Taubman|Leo Gregory|James Norton|James Norton|Darrell D'Silva|Johan Hegg,Northmen: A Viking Saga
,Christopher Presswell,,Tom Knight|Tom Knight,Candlestick
Bill Block|John Lesher|John Lesher,David Ayer,,Brad Pitt|Logan Lerman|Shia LaBeouf|Michael PeÃ±a|Jon Bernthal|Jason Isaacs|Scott Eastwood,Fury
Ryan Kavanaugh|Nicholas Sparks,Michael Hoffman (American director)|Michael Hoffman,,James Marsden|Michelle Monaghan|Luke Bracey|Liana Liberato,The Best of Me
Arcadiy Golubovich,Sarik Andreasyan,,Hayden Christensen|Adrien Brody|Jordana Brewster|Tory Kittles|Akon,American Heist
Kristina Reed|Roy Conli,Don Hall|Don Hall|Chris Williams|Chris Williams,,Ryan Potter|Scott Adsit|Daniel Henney|T.J. Miller|Jamie Chung|Damon Wayans|Jr.|Genesis Rodriguez|James Cromwell|Maya Rudolph|Alan Tudyk|Ryan Potter|Scott Adsit|Daniel Henney|T.J. Miller|Jamie Chung|Damon Wayans|Jr.|Genesis Rodriguez|James Cromwell|Maya Rudolph|Alan Tudyk,Big Hero 6
Karuna Badwal|Gauri Khan,Farah Khan,Mayur Puri,Shah Rukh Khan|Deepika Padukone|Abhishek Bachchan|Sonu Sood|Boman Irani|Vivaan Shah|Jackie Shroff,Happy New Year
Jason Blum|Michael Bay|Andrew Form|Bradley Fuller,Stiles White,,Olivia Cooke|Daren Kagasoff|Douglas Smith|Douglas Smith|Bianca A. Santos|Bianca Santos|Shelley Hennig|Ana Coto|Lin Shaye,Ouija
Emma Thomas|Lynda Obst,Christopher Nolan,Jonathan Nolan,Matthew McConaughey|Anne Hathaway|Jessica Chastain|Bill Irwin|Ellen Burstyn|Michael Caine|Matthew McConaughey|Anne Hathaway|Jessica Chastain|Bill Irwin|Ellen Burstyn|Michael Caine,Interstellar
Neal Dodson,J. C. Chandor,,Oscar Isaac|Jessica Chastain|David Oyelowo|Alessandro Nivola|Albert Brooks|Elyes Gabel,A Most Violent Year
Jason Blum,Kevin Greutert,Ben Garant,Sarah Snook|Mark Webber|Mark Webber|David Andrews|David Andrews|Joelle Carter|Ana de la Reguera,Jessabelle
Irwin Winkler|Robert Chartoff|Mark Wahlberg,Rupert Wyatt,,John Goodman|Brie Larson|Michael K. Williams|Jessica Lange|George Kennedy,The Gambler
Robert Lorenz|Andrew Lazar|Bradley Cooper|Peter Morgan|Peter Morgan,Clint Eastwood,Jason Hall|Jason Hall,Sienna Miller,American Sniper
Charles B. Wessler|Riza Aziz|Joey McFarland,Farrelly brothers|Bobby Farrelly|Peter Farrelly,Mike Cerrone,Jim Carrey|Jeff Daniels|Rob Riggle|Laurie Holden|Don Lake|Kathleen Turner,Dumb and Dumber To
Lara Breay,Eric Darnell|Simon J. Smith,,Chris Miller|Chris Miller|Christopher Knights|Conrad Vernon|Benedict Cumberbatch|Ken Jeong|Annet Mahendru|Peter Stormare|John Malkovich,Penguins of Madagascar
,Darren Doane,,Kirk Cameron,Saving Christmas
Erwin Stoff|Clayton Townsend,Angelina Jolie,,Jack O'Connell|Jack O'Connell|Domhnall Gleeson|Miyavi|Garrett Hedlund|Finn Wittrock,Unbroken
Brett Ratner|Jay Stern,Sean Anders,,Jason Bateman|Charlie Day|Jason Sudeikis|Jennifer Aniston|Jamie Foxx|Chris Pine|Christoph Waltz,Horrible Bosses 2
David Heyman,Paul King|Paul King,,Hugh Bonneville|Sally Hawkins|Julie Walters|Jim Broadbent|Peter Capaldi|Nicole Kidman|Ben Whishaw,Paddington
Carolynne Cunningham|Zane Weiner|Fran Walsh,Peter Jackson,,Martin Freeman|Ian McKellen|Richard Armitage|Richard Armitage|Evangeline Lilly|Lee Pace|Luke Evans|Luke Evans|Benedict Cumberbatch|Ken Stott|James Nesbitt|Cate Blanchett|Ian Holm|Christopher Lee|Hugo Weaving|Orlando Bloom,The Hobbit: The Battle of the Five Armies
Alexandre Aja|Mark Canton,GrÃ©gory Levasseur,,Ashley Hinshaw|Denis O'Hare|James Buckley|James Buckley,The Pyramid
,Tsuneo Kobayashi,,Junko Takeuchi|Nana Mizuki|Chie Nakamura|Showtaro Morikubo|Satoshi Hino|Kazuhiko Inoue|Noriaki Sugiyama,The Last: Naruto the Movie
"James Lassiter|Jada Pinkett Smith|Will Smith|Jay Z|Shawn ""Jay Z"" Carter",Will Gluck,,QuvenzhanÃ© Wallis|Jamie Foxx|Rose Byrne|Bobby Cannavale|Cameron Diaz|Adewale Akinnuoye-Agbaje|David Zayas,Annie
Marc E. Platt|Marc Platt,Rob Marshall,,Meryl Streep|Emily Blunt|James Corden|Anna Kendrick|Chris Pine|Tracey Ullman|Christine Baranski|Johnny Depp,Into the Woods
,Anne K. Black,,Melanie Stone|Adam Johnson|Adam Johnson|Jake Stormoen|Nicola Posener|Christopher Robin Miller|Kevin Sorbo|Natalie Devine|Robert Jayne|Michael Flynn|Michael Flynn,Mythica: A Quest for Heroes
Chris Columbus|Chris Columbus,Shawn Levy,,Ben Stiller|Robin Williams|Owen Wilson|Dan Stevens|Ben Kingsley,Night at the Museum:|Secret of the Tomb
,Seth Rogen|Evan Goldberg,,James Franco|Lizzy Caplan|Randall Park,The Interview
Peter Chernin|Jenno Topping|Michael Schaefer|Michael Schaefer|Mark Huffam,Ridley Scott,Steven Zaillian,Christian Bale|Joel Edgerton|John Turturro|Aaron Paul|Ben Mendelsohn|Sigourney Weaver|Ben Kingsley,Exodus: Gods and Kings
,Matthew Vaughn,,Colin Firth|Samuel L. Jackson|Mark Strong|Taron Egerton|Colin Firth|Samuel L. Jackson|Mark Strong|Taron Egerton|Michael Caine,Kingsman: The Secret Service
Luc Besson,Olivier Megaton,Robert Mark Kamen,Liam Neeson|Forest Whitaker|Famke Janssen|Maggie Grace|Dougray Scott|Sam Spruell|Leland Orser,Taken 3
Basil Iwanyk|Thomas Tull|Lionel Wigram|Lionel Wigram,Sergei Bodrov,,Jeff Bridges|Ben Barnes|Ben Barnes|Alicia Vikander|Kit Harington|Olivia Williams|Antje Traue|Djimon Hounsou|Julianne Moore,Seventh Son
Georgina Lowe,Mike Leigh,,Timothy Spall|Dorothy Atkinson|Marion Bailey|Paul Jesson|Lesley Manville|Martin Savage|Martin Savage,Mr. Turner
Vidhu Vinod Chopra,Rajkumar Hirani,Abhijat Joshi,Aamir Khan|Anushka Sharma|Boman Irani|Saurabh Shukla|Sanjay Dutt,PK
Scott Alexander and Larry Karaszewski|Scott Alexander|Larry Karaszewski,Tim Burton,,Amy Adams|Christoph Waltz|Danny Huston|Jon Polito|Krysten Ritter|Jason Schwartzman|Terence Stamp,Big Eyes
Christian Colson|Oprah Winfrey|Dede Gardner|Jeremy Kleiner,Ava DuVernay,,David Oyelowo|Common (rapper)|Common|Tom Wilkinson|Carmen Ejogo|Giovanni Ribisi|Alessandro Nivola|Cuba Gooding Jr.|Tim Roth,Selma.
,Russell Crowe,Andrew Knight|Andrew Knight,Jacqueline McKenzie|Olga Kurylenko|YÄ±lmaz ErdoÄŸan|Cem YÄ±lmaz|Jai Courtney|Ryan Corr|Isabel Lucas,The Water Diviner
,Jaume BalaguerÃ³,,Manuela Velasco,REC 4: Apocalypse
Simon Oakes|Tobin Armbrust,Tom Harper|Tom Harper,,Phoebe Fox|Jeremy Irvine|Helen McCrory|Adrian Rawlins|Leanne Best|Ned Dennehy,The Woman in Black: Angel of Death
,Leste Chen,,Yang Zishan|Gua Ah-leh|Chen Bolin|Lu Han (singer)|Lu Han,20 Once Again
Thomas Tull,Michael Mann|Michael Mann,,Chris Hemsworth|Tang Wei|Viola Davis|Ritchie Coster|Holt McCallany|Yorick van Wageningen|Wang Leehom,Blackhat
,Christopher Denham,,Wrenn Schmidt|Pablo Schreiber|Aaron Staton|Cody Saintgnue,Preservation
,,,,The World Made Straight
Viswanathan Ravichandran|V Ravichandran,S. Shankar,,Vikram|Vikram|Amy Jackson|Suresh Gopi,I
Jason Statham,Simon West,,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik Garcia-Lorido|Anne Heche|Sofia Vergara|Max Casella|Jason Alexander|Hope Davis|Stanley Tucci,Wild Card
Vishal|Vishal,Sundar C.,,Vishal|Vishal|Prabhu|Prabhu|Hansika Motwani|Ramya Krishnan,Aambala
Allu Aravind,,Maruthi Dasari,G. V. Prakash Kumar|Nikki Galrani|Karunas|Bala Saravanan|Srushti Dange|Rajendran,Darling
George Lopez,Sean McNamara|Sean McNamara,,Jamie Lee Curtis|Carlos PenaVega|Esai Morales|David Del Rio|Alexa PenaVega|Alessandra Rosaldo|Marisa Tomei|Jamie Lee Curtis|Carlos PenaVega|Esai Morales|David Del Rio|Alexa PenaVega|Alessandra Rosaldo|Marisa Tomei,Spare Parts
Lex Lutzus,Richard Glatzer|Wash West,,Julianne Moore|Alec Baldwin|Kristen Stewart|Kate Bosworth|Hunter Parrish,Still Alice
Adam Fields|Will Packer,,,Kevin Hart|Josh Gad|Kaley Cuoco-Sweeting|Ken Howard|Cloris Leachman|Jenifer Lewis|Mimi Rogers|Olivia Thirlby,The Wedding Ringer
Andrew Macdonald|Andrew Macdonald,Alex Garland,,Domhnall Gleeson|Alicia Vikander|Oscar Isaac,Ex Machina
Robert Redford,Ken Kwapis,,Robert Redford|Nick Nolte|Kristen Schaal|Nick Offerman|Mary Steenburgen|Emma Thompson,A Walk in the Woods
,,,Garret Dillahunt|Tom Felton|Jake Abel,Against the Sun
,Kevin Macdonald|Kevin Macdonald,Dennis Kelly,Jude Law|Scoot McNairy|Ben Mendelsohn|David Threlfall,Black Sea
Jennifer Aniston|Kristin Hahn|Courtney Solomon|Mark Canton,Daniel Barnz,,Jennifer Aniston|Adriana Barraza|Mamie Gummer|Felicity Huffman|William H. Macy|Chris Messina|Lucy Punch|Britt Robertson|Anna Kendrick|Sam Worthington,Cake
Colleen Camp|Cassian Elwes|NicolÃ¡s LÃ³pez|NicolÃ¡s LÃ³pez,Eli Roth,,Keanu Reeves|Ana de Armas|Lorenza Izzo|Aaron Burns|Ignacia Allamand|Colleen Camp,Knock Knock
Nancy Grant,Xavier Dolan,,Anne Dorval|Antoine Olivier Pilon|Suzanne ClÃ©ment,Mommy
Andrew Lazar|Johnny Depp|Kenneth Kokin,David Koepp,,Gwyneth Paltrow|Ewan McGregor|Olivia Munn|Jeff Goldblum|Paul Bettany,Mortdecai
Jerry Weintraub|Werner Herzog|Liam Satre Meloy,Gabe Polsky,,Viacheslav Fetisov|Vladislav Tretiak|Scotty Bowman|Vladimir Posner|Vladimir Pozner,Red Army
Kevin Munroe,Gary Rydstrom,,Alan Cumming|Evan Rachel Wood|Kristin Chenoweth|Maya Rudolph|Alfred Molina|Sam Palladio,Strange Magic
Shih-Ching Tsou|Shih-Ching Tsou,Sean Baker|Sean Baker,,Kitana Kiki Rodriguez|Mya Taylor|James Ransone,Tangerine
Jason Blum|John Jacobs|John Jacobs|Benny Medina|Jennifer Lopez,Rob Cohen,,Ryan Guzman|John Corbett|Ian Nelson (actor|born 1995)|Ian Nelson|Kristin Chenoweth,The Boy Next Door
Jack Black|Barnaby Thompson|Mike White|Mike White,Jarrad Paul,,James Marsden|Kathryn Hahn|Jeffrey Tambor|Mike White|Mike White,The D Train
,James Ponsoldt,,Jason Segel|Jesse Eisenberg,The End of the Tour
,,,Thaman Kumar|Arundhati|Arundhati,Thottal Thodarum
Forest Whitaker|Nina Yang Bongiovi,Rick Famuyiwa,,Shameik Moore|Tony Revolori|Kiersey Clemons|Kimberly Elise|Chanel Iman|Keith Stanfield|Blake Anderson|ZoÃ« Kravitz|Keith Stanfield|Blake Anderson|ZoÃ« Kravitz|ASAP Rocky,Dope
Jamie Patricof,Anna Boden and Ryan Fleck,,Ryan Reynolds|Ben Mendelsohn|Sienna Miller|Analeigh Tipton|Alfre Woodard,Mississippi Grind
Scott Rudin|Greta Gerwig,Noah Baumbach,,Lola Kirke,Mistress America
,Mark Burton|Mark Burton|Richard Starzak,,Justin Fletcher|John Sparkes|Omid Djalili,Shaun the Sheep Movie
Will Ferrell|Sidney Kimmel|Adam McKay,Leslye Headland,,Jason Sudeikis|Alison Brie|Adam Scott|Adam Scott|Jason Mantzoukas|Natasha Lyonne|Adam Brody|Amanda Peet,Sleeping with Other People
Iain Canning|Michael Fassbender,John Maclean|John Maclean,,Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,Slow West
Anne Carey,Marielle Heller,,Bel Powley|Alexander SkarsgÃ¥rd|Christopher Meloni|Kristen Wiig,The Diary of a Teenage Girl
Sophia Lin|Tobey Maguire|SigurjÃ³n Sighvatsson,Craig Zobel,,Chiwetel Ejiofor|Margot Robbie|Chris Pine,Z for Zachariah
Jeremy Dawson|Jeremy Dawson|Dan Fogelman|Steven M. Rales,Alfonso Gomez-Rejon,,Thomas Mann|Thomas Mann|Olivia Cooke|RJ Cyler|Nick Offerman|Molly Shannon|Jon Bernthal|Connie Britton,Me and Earl and the Dying Girl
,Corin Hardy,Corin Hardy,Joseph Mawle|Bojana Novakovic|Michael McElhatton|Michael Smiley,The Hallow
,Anna Muylaert,,Regina CasÃ©|Camila MÃ¡rdila,The Second Mother
Ken Jeong|Jacqueline Kim,Jennifer Phang,,James Urbaniak|Freya Adams|Jennifer Ehle,Advantageous
Amanda Posey|Finola Dwyer,John Crowley|John Crowley,,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Jim Broadbent|Julie Walters,Brooklyn
Grant Hill|Grant Hill,The Wachowskis,,Channing Tatum|Mila Kunis|Sean Bean|Eddie Redmayne|Douglas Booth,Jupiter Ascending
,NoÃ©mie Saglio,,Pio MarmaÃ¯|Franck Gastambide|Adrianna Gradziel|Lannick Gautry|Camille Cottin,I Kissed a Girl
Ã‰tienne Comar,Abderrahmane Sissako,,Hichem Yacoubi,Timbuktu
,,,Adrian Paul|Reiley McClendon|Rick Ravanello,Outpost 37
,,,Rick Jay Glen,Boonie Bears: Mystical Winter
,,,Elango Kumaravel,Dharani
S. J. Surya,S. J. Surya,S. J. Surya,Sathyaraj|Sulagna Panigrahi|Sulagna,Isai
Salem Chandrasekharan,A. Venkatesh|A. Venkatesh,,Bharath|Bharath|Meera Chopra|Nila|Vivek|Vivek,Killadi
Kevin Costner,Mike Binder,,Bill Burr|Jennifer Ehle|Andre Holland|Gillian Jacobs|Anthony Mackie,Black or White
Steve Golin,Erik Van Looy,,Karl Urban|James Marsden|Wentworth Miller|Eric Stonestreet|Matthias Schoenaerts|Rhona Mitra|Rachael Taylor|Isabel Lucas,The Loft
Andrew Form|Bradley Fuller|Michael Bay,Dean Israelite,,Jonny Weston|Sofia Black D'Elia|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista|Virginia Gardner|Amy Landecker,Project Almanac
,R. K. Selvamani,R. K. Selvamani,Prashanth|Prashanth|Karthika Mathew|Karthika|R. K.|R. K.|Mansoor Ali Khan|Mansoor Ali Khan|Anandaraj|Pyramid Natarajan|Roja Selvamani|Roja,Pulan Visaranai 2
,,,,Running Man
,Remi Vaughan-Richards,,Majid Michel|OC Ukeje|Desmond Elliot|Osas Ighodaro|Jide Kosoko,The Department
,S. A. Chandrasekhar|S.A.Chandrasekhar,,Abi Saravanan|Manobala,Touring Talkies
A. M. Rathnam,Gautham Vasudev Menon,,Ajith Kumar|Arun Vijay|Trisha Krishnan|Anushka Shetty|Parvathy Nair,Yennai Arindhaal
,Andrew Haigh,,Charlotte Rampling|Tom Courtenay,45 Years
Mary Parent,Paul Tibbitt,,Antonio Banderas,The SpongeBob Movie:|Sponge Out of Water
,Gabriel Ripstein,,Tim Roth,600 Miles
,,,,Old Fashioned
,Natalia Kudryashova,,,Pioneer Heroes
,,,Lily Collins|Sam Claflin|Tamsin Egerton|Suki Waterhouse|Jaime Winstone|Christian Cooke|Lily Laight,Love|Rosie
,Etienne Faure,,Rebekah Underhill,Bizarre
,Jayro Bustamante,,,Ixcanul
Elisabeth Moss|Alex Ross Perry|Joe Swanberg,Alex Ross Perry,Alex Ross Perry,Elisabeth Moss|Katherine Waterston|Patrick Fugit,Queen of Earth
Maria AvdjuÅ¡ko,Elmo NÃ¼ganen,Leo Kunnas,,1944
,Ivan OstrochovskÃ½,,Peter BalÃ¡Å¾ (boxer)|Peter BalÃ¡Å¾,Goat
,Josh Kim,Rattawut Lapcharoensap,Toni Rakkaen,How to Win at Checkers (Every Time)
Anne Carey|Iain Canning,Bill Condon,,Ian McKellen|Laura Linney|Hiroyuki Sanada|Milo Parker,Mr. Holmes
Michael De Luca|E. L. James|Dana Brunetti,Sam Taylor-Johnson,,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Marcia Gay Harden,Fifty Shades of Grey
Iain Canning|Emile Sherman,Anton Corbijn,,Robert Pattinson|Dane DeHaan|Joel Edgerton|Alessandra Mastronardi|Ben Kingsley,Life
Boney Kapoor|Sanjay Kapoor,,,Arjun Kapoor|Sonakshi Sinha|Manoj Bajpayee,Tevar
,Pablo LarraÃ\xadn,,,The Club
Kia Jam,David O. Russell,,Jessica Biel|Jake Gyllenhaal|Catherine Keener|James Marsden|Tracy Morgan|Paul Reubens|Kurt Fuller|James Brolin,Accidental Love
,Xu Jinglei,Wang Shuo|Xu Jinglei,Kris Wu|Wang Likun|Xu Jinglei,Somewhere Only We Know
,Radu Jude,,Victor Rebengiuc|LuminiÈ›a Gheorghiu,Aferim!
,Majid Majidi,Kambuzia Partovi,Mina Sadati,Muhammad: The Messenger of God
Susan Cartsonis|McG,Ari Sandel,,Mae Whitman|Robbie Amell|Bella Thorne|Skyler Samuels|Bianca Santos|Mae Whitman|Robbie Amell|Bella Thorne|Skyler Samuels|Bianca Santos|Nick Eversman,The DUFF
Simon Kinberg|Allison Shearmur|David Barron|David Barron,Kenneth Branagh,,Cate Blanchett|Lily James|Richard Madden|Stellan SkarsgÃ¥rd|Holliday Grainger|Derek Jacobi|Cate Blanchett|Lily James|Richard Madden|Stellan SkarsgÃ¥rd|Holliday Grainger|Derek Jacobi|Helena Bonham Carter,Cinderella
,Dustin Nguyen,Manh Tuan Nguyen,Ninh Duong Lan Ngoc,Jackpot
Kurt Deutsch,Richard LaGravenese,,Anna Kendrick|Jeremy Jordan|Jeremy Jordan,The Last Five Years
Jackie Chan,Daniel Lee|Daniel Lee,,Jackie Chan|John Cusack|Lin Peng|Choi Siwon|Adrien Brody,Dragon Blade
Sandra Ng,Matt Chow,,,12 Golden Ducks
,Jean-Jacques Annaud,,Feng Shaofeng|Shawn Dou|Ankhnyam Ragchaa|Batdorj-in Baasanjab|Basen Zhabu,Wolf Totem
,Peter Pau,,Chen Kun|Li Bingbing|Winston Chao|Yang Zishan|Bao Bei'er,Zhong Kui: Snow Girl and the Dark Crystal
Dinesh Vijan|Sunil Lulla,Sriram Raghavan,,Varun Dhawan|Nawazuddin Siddiqui|Huma Qureshi|Huma Qureshi|Yami Gautam|Divya Dutta,Badlapur
,Steve Pink,,Rob Corddry|Craig Robinson|Craig Robinson|Clark Duke|Adam Scott|Adam Scott|Chevy Chase,Hot Tub Time Machine 2
Mark Ciardi,Niki Caro,,Kevin Costner|Maria Bello|Morgan Saylor,McFarland|USA
,Driss Mrini,,,Aida
Denise Di Novi,Glenn Ficarra|John Requa,,Will Smith|Margot Robbie|Rodrigo Santoro,Focus
Graham Broadbent,John Madden|John Madden,Ol Parker,Judi Dench|Maggie Smith|Bill Nighy|Dev Patel|Celia Imrie|Penelope Wilton|Ronald Pickup|David Strathairn|Richard Gere|Tina Desai,The Second Best Exotic Marigold Hotel
,,Issa LÃ³pez,Aislinn Derbez|Mauricio Ochmann,A la mala
Jason Blum,David Gelb,Luke Dawson|Jeremy Slater,Mark Duplass|Olivia Wilde|Donald Glover|Evan Peters|Sarah Bolger|Amy Aquino|Ray Wise,The Lazarus Effect
,,,,Be My Cat: A Film for Anne
Simon Kinberg,Neill Blomkamp,Terri Tatchell,Sharlto Copley|Dev Patel|Watkin Tudor Jones|Yolandi Visser|Jose Pablo Cantillo|Sigourney Weaver|Hugh Jackman,CHAPPiE
,Adam Carolla,Kevin Hench,Larry Miller (comedian)|Larry Miller|David Alan Grier|David Koechner,Road Hard
Arnon Milchan|Steve Tisch|Anthony Katagas,Ken Scott|Ken Scott,Steven Conrad,Vince Vaughn|Tom Wilkinson|Dave Franco|Sienna Miller|Nick Frost|James Marsden,Unfinished Business
Mireille Soria|Chris Jenkins|Chris Jenkins,Tim Johnson|Tim Johnson,,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt L. Jones|Matt Jones,Home
,Donato Rotunno,,Joshua Defays,Baby(a)lone
,KRU|Yusry Abdul Halim,,Zizan Razak|Lisa Surihani,Cicakman 3
Vikramaditya Motwane|Anurag Kashyap|Vikas Bahl|Anushka Sharma|Sunil Lulla,Navdeep Singh|Navdeep Singh,,Anushka Sharma|Neil Bhoopalam,NH10
Roy Lee,Jaume Collet-Serra,,Liam Neeson|Ed Harris|Joel Kinnaman|Vincent D'Onofrio|Common (rapper)|Common|Boyd Holbrook,Run All Night
,Klaus HÃ¤rÃ¶,,MÃ¤rt Avandi|Ursula Ratasepp,The Fencer
Michael London,Todd Strauss-Schulson,M.A. Fortin|Joshua John Miller,Taissa Farmiga|Malin Ã…kerman|Adam DeVine|Thomas Middleditch|Alia Shawkat|Alexander Ludwig|Nina Dobrev,The Final Girls
Andrea Sperling,Jamie Babbit,Karey Dornetto,Natasha Lyonne|Judy Greer|Molly Shannon|Fred Armisen|Ron Livingston|Aubrey Plaza,Addicted to Fresno
Kevin Mann,Michael Showalter,,Sally Field|Max Greenfield|Beth Behrs|Wendi McLendon-Covey|Stephen Root|Elizabeth Reaser|Natasha Lyonne|Tyne Daly,Hello|My Name Is Doris
Barry Mendel,Judd Apatow,Amy Schumer,Bill Hader|Brie Larson|Colin Quinn|John Cena|Vanessa Bayer|Tilda Swinton|Ezra Miller|LeBron James,Trainwreck
Nico Hain,Goran RadovanoviÄ‡,,Nebojsa Glogovac|Anica Dobra|Miodrag KrivokapiÄ‡|Miodrag KrivokapiÄ‡,Enclave
Douglas Wick|Lucy Fisher,Robert Schwentke,,Shailene Woodley|Theo James|Octavia Spencer|Jai Courtney|Ray Stevenson|ZoÃ« Kravitz|Miles Teller|Ansel Elgort|Maggie Q|Naomi Watts|Kate Winslet,The Divergent Series: Insurgent
Denise Di Novi,Dan Fogelman,,Al Pacino|Annette Bening|Jennifer Garner|Bobby Cannavale|Christopher Plummer,Danny Collins
,Yasir Jaswal,,Sajid Hasan|Adnan Jaffar|Sabeeka Imam|Zhalay Sarhadi|Ali Safina|Danish Taimoor|Wiqar Ali Khan|Uzair Jaswal,Jalaibee
Sean Penn|Peter McAleese|Andrew Rona|Joel Silver,Pierre Morel,,Idris Elba|Ray Winstone|Mark Rylance|Jasmine Trinca|Peter FranzÃ©n|Javier Bardem,The Gunman
,Aleksandr Voytinskiy,,Fedor Bondarchuk|Semyon Treskunov|Yan Tsapnik|Kseniya Lavrova-Glinka,Ghost
Chris Henchy|Will Ferrell|Adam McKay,Etan Cohen,,Kevin Hart|T.I.|Tip 'T.I.' Harris|Alison Brie|Craig T. Nelson|Kevin Hart|T.I.|Tip 'T.I.' Harris|Alison Brie|Craig T. Nelson,Get Hard
Neal H. Moritz|Vin Diesel,James Wan,Chris Morgan|Chris Morgan,"Paul Walker|Dwayne Johnson|Michelle Rodriguez|Tyrese Gibson|Ludacris|Chris ""Ludacris"" Bridges|Jordana Brewster|Djimon Hounsou|Kurt Russell|Jason Statham",Furious 7
David M. Thompson,Simon Curtis|Simon Curtis,Alexi Kaye Campbell,Helen Mirren|Ryan Reynolds|Daniel BrÃ¼hl|Katie Holmes|Tatiana Maslany|Max Irons|Charles Dance|Elizabeth McGovern|Jonathan Pryce,Woman in Gold
Aditya Chopra,Dibakar Banerjee,Sharadindu Bandyopadhyay,Sushant Singh Rajput|Anand Tiwari|Swastika Mukherjee,Detective Byomkesh Bakshy!
,Kazuaki Kiriya,,Clive Owen|Cliff Curtis|Aksel Hennie|Peyman Moaadi|Ayelet Zurer|Shohreh Aghdashloo|Ahn Sung-ki|Morgan Freeman,Last Knights
,,Paul McCusker,Andrew Cheney|John Rhys-Davies|Kara Killmer|Adetokumboh M'Cormack|Steve Blackwood|Thomas D. Mahard|John Arden McClure|Alan Madlane,Beyond the Mask
